id;Firstname;Lastname;Adress;RegistrationDate;Revenue;States
8279;Benjamin;Hoover;Carpinteria Avenue;30/11/2003;77962;NJ
8280;Abraham;Jefferson;French Camp Turnpike Road;17/06/2005;12688;GA
8281;Bill;Hayes;Lake Tahoe Blvd.;15/11/2003;14908;MI
8282;Harry;Reagan;Westside Freeway;18/03/1998;73608;GA
8283;Abraham;Quincy Adams;San Diego Freeway;10/10/2003;53791;WY
8284;Harry;Lincoln;Bayshore Freeway;05/03/2000;96243;NM
8285;Ulysses;Jackson;Santa Rosa South;11/10/2002;14847;ID
8286;Bill;Lincoln;Carpinteria South;17/11/2005;22964;VA
8287;Franklin;Taylor;Lake Tahoe Blvd.;06/05/2000;35447;LA
8288;Ronald;Kennedy;Katella Avenue;01/01/2003;57895;GA
8289;Benjamin;Coolidge;Santa Rosa South;05/08/2003;79643;ND
8290;George;Van Buren;South Highway;12/07/2000;92104;IL
8291;Lyndon;Cleveland;Monroe Street;05/04/2004;88998;CO
8292;Calvin;Reagan;San Luis Obispo North;17/07/1999;40045;NJ
8293;Grover;Van Buren;San Simeon;26/04/2006;54659;KY
8294;Andrew;Clinton;Santa Rosa South;16/08/2005;97259;VT
8295;Ulysses;Tyler;Lawrenceville Suwanee;01/03/2005;10678;IL
8296;Zachary;McKinley;South Roosevelt Drive;29/11/2001;19322;NJ
8297;Abraham;Harrison;Monroe Street;05/07/1999;38573;ID
8298;Zachary;Truman;Jones Road;24/09/1999;32030;OK
8299;William;Taft;Cleveland Ave.;23/10/1999;13155;TN
8300;Abraham;Roosevelt;Carpinteria South;21/11/2004;42854;RI
8301;Woodrow;Wilson;South Highway;25/05/2006;79601;NJ
8302;Martin;Taylor;Tully Road East;11/08/1998;33629;PA
8303;Thomas;Wilson;Erringer Road;11/03/2002;61768;MI
8304;Gerald;Polk;Pacific Hwy S;08/01/2005;14501;TN
8305;Ronald;Hoover;Cabrillo Highway;12/01/2005;51767;WI
8306;Martin;Roosevelt;N Harrison St;16/05/2002;79126;IN
8307;Woodrow;Cleveland;East Calle Primera;07/09/1999;20785;ND
8308;Abraham;Jefferson;Steele Lane;05/10/2001;21110;MS
8309;Herbert;Hoover;Newbury Road;22/05/2001;71147;NC
8310;Rutherford;McKinley;Grandview Drive;03/08/2005;41712;MN
8311;Martin;Hoover;Calle Real;21/02/1999;69648;HI
8312;Dwight;Cleveland;Jones Road;30/07/1998;28773;NE
8313;Dwight;Hayes;San Diego Freeway;29/06/2003;12112;PA
8314;Grover;Tyler;Grandview Drive;03/06/1998;16935;AR
8315;Dwight;Adams;South Highway;18/01/2001;39223;UT
8316;Zachary;Roosevelt;Carpinteria North;03/02/2004;29066;MT
8317;Dwight;Jefferson;Redwood Highway;23/07/2004;13589;MO
8318;Harry;Roosevelt;North Preisker Lane;26/09/2003;18962;WV
8319;Harry;Fillmore;Hutchinson Rd;20/08/2000;98059;NE
8320;Millard;Quincy Adams;San Diego Freeway;18/03/2006;95301;VA
8321;Grover;Coolidge;North Erringer Road;09/02/2002;85301;KY
8322;Benjamin;Harrison;San Marcos;31/03/2006;36820;KY
8323;Franklin;Kennedy;East Fry Blvd.;29/12/2006;88621;SD
8324;Warren;Jackson;East Main Street;26/03/2000;78780;ID
8325;John;Hayes;North Ventu Park Road;04/02/1999;74029;AL
8326;John;Hayes;Carpinteria North;17/08/1998;90651;AK
8327;Ronald;Washington;North Atherton Street;19/03/1999;33557;LA
8328;Grover;Jefferson;East 1st Street;26/12/1998;25048;WV
8329;Ulysses;Pierce;Fontaine Road;06/01/2005;79843;NM
8330;Harry;Harding;San Luis Obispo North;18/08/2000;17954;TN
8331;Abraham;Eisenhower;E Fowler Avenue;02/07/1999;11939;RI
8332;Benjamin;Grant;Bayshore Freeway;08/12/2006;50133;CA
8333;Ulysses;Wilson;W. Russell St.;27/01/2001;62377;VT
8334;Thomas;Washington;Newbury Road;26/03/2006;69848;MI
8335;Herbert;Van Buren;Calle Real;22/04/2002;35510;AL
8336;George;Lincoln;Harbor Dr;07/05/2003;36801;MO
8337;William;Carter;Carpinteria North;03/04/2004;77061;GA
8338;George;Harrison;Santa Ana Freeway;01/10/2002;67319;AR
8339;Bill;Lincoln;Fontaine Road;15/06/2002;14949;OH
8340;William;Quincy Adams;Burnett Road;13/05/2006;50809;NY
8341;Calvin;Cleveland;Milpas Street;29/06/2005;61369;MS
8342;Ulysses;Grant;Fairview Avenue;15/12/1998;87454;AZ
8343;Millard;Tyler;Westside Freeway;04/04/2005;86100;IL
8344;William;Quincy Adams;N Kentwood;02/03/2002;37150;UT
8345;Martin;Harrison;Lindbergh Blvd;08/10/2006;71084;TN
8346;Gerald;Harrison;East 1st Street;15/03/1999;69711;MO
8347;Harry;Coolidge;Fontaine Road;28/08/2000;36238;WY
8348;William;Monroe;Camelback Rd;31/01/2000;56307;OR
8349;John;Jefferson;Camelback Rd;02/04/2004;66539;NV
8350;Martin;Lincoln;San Luis Obispo North;27/07/2004;52163;NM
8351;Jimmy;Harrison;Burnett Road;29/04/2000;80318;MS
8352;Richard;Jackson;Moreno Drive;17/09/2006;70505;GA
8353;Abraham;Adams;East Fry Blvd.;01/06/1998;58862;MI
8354;Chester;Cleveland;North Ventu Park Road;23/12/2004;47743;PA
8355;Chester;Roosevelt;North Ventu Park Road;24/10/2002;17209;VA
8356;Dwight;McKinley;N Kentwood;24/01/2000;89945;WA
8357;Grover;Buchanan;North Ventu Park Road;27/02/2004;76237;IA
8358;Richard;Coolidge;Padre Boulevard;18/04/1998;10499;ND
8359;Andrew;Arthur;North Erringer Road;29/08/2003;95968;SD
8360;Gerald;Jackson;Steele Lane;30/08/2002;49081;NC
8361;William;Harding;East Fry Blvd.;10/12/2006;40149;FL
8362;Thomas;Harrison;Cerrillos Road;25/06/2000;71839;NM
8363;Ronald;Arthur;N Kentwood;11/07/2005;82071;ME
8364;Abraham;Cleveland;S Rustle St;08/09/2001;42846;MN
8365;Rutherford;Grant;North Erringer Road;01/12/1999;91632;WY
8366;Warren;Garfield;S Rustle St;21/09/2001;56788;MD
8367;Gerald;Taft;Jones Road;28/04/2001;33667;PA
8368;George;Eisenhower;Corona Del Mar;04/02/2004;22914;UT
8369;Ulysses;Washington;Lindbergh Blvd;09/01/2003;17517;DE
8370;Andrew;Ford;124th;11/07/2003;80230;WA
8371;Herbert;Roosevelt;San Ysidro Blvd;27/04/2002;87844;MT
8372;Theodore;Harrison;Corona Del Mar;27/09/2001;33947;NE
8373;William;Adams;Harry S Truman Blvd;23/02/2001;26696;ND
8374;Gerald;Polk;North Ventu Park Road;13/11/2001;63168;WV
8375;Theodore;Roosevelt;Harbor Dr;16/04/2003;66852;WV
8376;Zachary;Taft;San Simeon;02/07/1999;89846;NM
8377;Theodore;Coolidge;North Broadway Street;24/03/1999;86355;SC
8378;Warren;Madison;N Kentwood;26/04/2006;58966;MN
8379;James;Quincy Adams;Richmond Hill;12/08/2001;74369;PA
8380;Ulysses;Nixon;Greenwood Road;30/05/1998;50001;NH
8381;Lyndon;Monroe;San Marcos;17/05/2005;68228;ID
8382;Calvin;Kennedy;San Ysidro Blvd;24/02/2005;39597;RI
8383;Theodore;Roosevelt;San Luis Obispo North;06/06/1998;11755;WV
8384;Gerald;Truman;North Broadway Street;08/10/2005;35535;NE
8385;George;Jefferson;East 1st Street;08/01/2005;74853;NH
8386;Rutherford;Madison;Camelback Rd;27/06/2002;41904;TX
8387;Warren;Quincy Adams;San Simeon;25/09/1999;84293;GA
8388;John;Madison;North Broadway Street;18/04/2000;35568;NM
8389;Franklin;Arthur;Bayshore Freeway;11/01/1998;45818;WV
8390;Lyndon;Ford;Fontaine Road;26/05/2001;43841;NE
8391;Thomas;Johnson;Lindbergh Blvd;11/07/1999;47441;AK
8392;Benjamin;Eisenhower;Bayshore Freeway;19/03/2005;53451;AR
8393;Zachary;Kennedy;Harbor Dr;21/10/1999;84018;OR
8394;Zachary;Kennedy;124th;20/01/2005;20720;IL
8395;Dwight;Washington;W. Russell St.;30/11/1998;73081;KS
8396;Rutherford;Hoover;San Ysidro Blvd;29/05/1999;73026;TN
8397;Rutherford;Cleveland;San Simeon;11/06/2006;61889;AR
8398;Harry;Madison;South Roosevelt Drive;02/11/1999;91475;MI
8399;Woodrow;Coolidge;Steele Lane;07/04/1998;85770;TN
8400;Benjamin;Johnson;Bowles Avenue;14/07/1999;24872;ND
8401;Warren;Truman;Santa Rosa North;07/11/2004;37674;ND
8402;Gerald;Coolidge;124th;17/06/2001;34898;NJ
8403;Theodore;Polk;124th;20/04/1998;89000;AR
8404;Dwight;Taylor;Moreno Drive;24/02/1998;22560;MO
8405;James;Grant;San Simeon;12/11/2000;41665;NM
8406;James;Lincoln;Milpas Street;07/02/2002;65893;MO
8407;Dwight;Roosevelt;Newbury Road;29/03/2001;41429;NJ
8408;Thomas;Coolidge;North Preisker Lane;02/11/2000;58897;CO
8409;Ulysses;Roosevelt;Harry S Truman Blvd;15/05/2002;42456;NM
8410;Abraham;Quincy Adams;Santa Ana Freeway;16/07/1998;81733;DE
8411;Ulysses;Adams;Timberlane Drive;07/12/2002;93142;CT
8412;Zachary;Roosevelt;San Simeon;03/05/2000;62174;CT
8413;Ronald;Jefferson;San Simeon;10/06/2002;93189;WV
8414;William;Harding;Monroe Street;30/03/2002;78300;IL
8415;Abraham;Clinton;Corona Del Mar;16/12/2002;11906;WY
8416;Millard;Madison;Calle Real;27/08/2004;42429;NH
8417;Thomas;Lincoln;Lawrenceville Suwanee;16/06/1998;27806;LA
8418;Herbert;Ford;East Calle Primera;15/07/2004;26336;MA
8419;Herbert;Madison;East Fry Blvd.;08/10/2005;49405;RI
8420;Martin;Harrison;Tully Road East;14/03/2002;57681;AZ
8421;Dwight;Coolidge;North Preisker Lane;22/03/2002;57304;NJ
8422;Martin;Reagan;N Kentwood;14/09/2004;17704;AL
8423;Grover;Quincy Adams;Pacific Hwy S;26/10/2003;97507;NY
8424;Franklin;Truman;North Broadway Street;28/11/1998;90190;SD
8425;Grover;Carter;Erringer Road;10/02/2005;15984;MA
8426;Franklin;Polk;Tanger Blvd;10/02/2002;51630;HI
8427;Franklin;Garfield;North Broadway Street;02/09/2005;14501;RI
8428;Rutherford;Kennedy;Grandview Drive;12/05/2001;12702;CT
8429;James;Kennedy;Santa Ana Freeway;04/03/2006;47686;NM
8430;James;Eisenhower;Bailard Avenue;05/05/2006;90945;WV
8431;Gerald;Garfield;Katella Avenue;20/02/2001;41352;MT
8432;Abraham;Carter;Harbor Dr;05/12/1999;94708;MI
8433;William;Jackson;French Camp Turnpike Road;05/04/2004;32060;AR
8434;Zachary;Jefferson;Castillo Drive;27/04/2002;28350;IL
8435;Harry;Hayes;Santa Monica Road;27/05/1998;47949;WA
8436;George;Tyler;Santa Rosa North;09/11/2005;68678;IN
8437;Zachary;Quincy Adams;North Erringer Road;02/03/1999;90805;FL
8438;Woodrow;Truman;N Kentwood;03/06/2005;12655;WY
8439;Lyndon;Polk;Cerrillos Road;19/02/1998;39366;NH
8440;Gerald;Quincy Adams;E Fowler Avenue;14/06/1998;86331;VA
8441;Franklin;Madison;Richmond Hill;21/09/2001;13919;WY
8442;Gerald;Jefferson;Tully Road East;17/08/1999;55041;ME
8443;Lyndon;Eisenhower;Katella Avenue;19/08/2003;32093;MS
8444;Andrew;Taft;S Rustle St;19/02/1998;54863;OK
8445;Theodore;Eisenhower;Santa Ana Freeway;18/12/1998;35952;ID
8446;Dwight;Roosevelt;East Main Street;10/08/2001;85295;UT
8447;James;Coolidge;Santa Ana Freeway;07/12/2003;20297;MD
8448;Bill;Roosevelt;San Luis Obispo North;16/08/2004;53212;NH
8449;Rutherford;Johnson;Lake Tahoe Blvd.;21/03/2000;82255;AL
8450;Herbert;Washington;Padre Boulevard;25/11/1998;98067;CA
8451;Harry;Clinton;East 1st Street;10/12/2001;32077;NE
8452;Ulysses;Roosevelt;Lindbergh Blvd;14/01/1998;28311;CA
8453;Rutherford;Harding;North Ventu Park Road;03/04/2002;95230;WY
8454;Thomas;Carter;East 1st Street;22/12/2004;29124;MS
8455;John;Cleveland;15th;24/07/2006;95699;NV
8456;Zachary;Lincoln;South Roosevelt Drive;02/01/2003;31324;IN
8457;Ulysses;Hoover;Cabrillo Highway;22/05/1999;90577;CT
8458;Grover;Pierce;Calle Real;02/06/2006;81595;MT
8459;Zachary;McKinley;El Camino Real;25/10/2006;25861;IN
8460;Woodrow;Harrison;Camelback Rd;27/10/1999;93909;SD
8461;Abraham;Truman;North Atherton Street;15/08/2002;33549;VA
8462;Rutherford;Nixon;Santa Ana Freeway;04/01/2000;62224;NE
8463;Abraham;Clinton;San Marcos;19/12/1999;19939;AR
8464;Theodore;Adams;Carpinteria Avenue;16/07/2006;14449;IN
8465;Harry;Harrison;San Ysidro Blvd;05/10/2004;75204;FL
8466;John;Johnson;French Camp Turnpike Road;14/11/2002;67615;NE
8467;Chester;Reagan;North Broadway Street;24/08/2001;84227;MN
8468;Millard;Jackson;Fairview Avenue;21/02/1999;44335;HI
8469;Dwight;Quincy Adams;Lawrenceville Suwanee;23/07/1999;68645;MO
8470;Abraham;Nixon;Woodson Rd.;04/08/1999;90489;NE
8471;Zachary;Reagan;Harry S Truman Blvd;25/12/2001;90198;MD
8472;Woodrow;Lincoln;Calle Real;08/08/2002;44178;AZ
8473;Bill;Taylor;South Roosevelt Drive;18/10/2000;75275;CA
8474;Warren;Taylor;Harbor Dr;05/05/2006;75924;MD
8475;Zachary;Arthur;French Camp Turnpike Road;22/09/2002;10749;RI
8476;George;Arthur;Bayshore Freeway;25/01/2002;80093;ID
8477;Calvin;Johnson;Woodson Rd.;18/06/1998;61051;OR
8478;Zachary;Roosevelt;Santa Monica Road;06/01/2000;67618;MI
8479;Ulysses;Kennedy;El Camino Real;14/05/2000;66464;MO
8480;Theodore;Ford;Richmond Hill;14/12/2006;29921;IL
8481;Rutherford;Fillmore;Carpinteria North;01/11/2004;42728;WY
8482;Herbert;Truman;Katella Avenue;01/05/2000;84128;MT
8483;Thomas;Garfield;Fairview Avenue;05/04/2005;61839;CT
8484;Abraham;Clinton;South Highway;28/01/1998;89497;IA
8485;Thomas;Polk;South Roosevelt Drive;21/08/2001;54118;UT
8486;Ronald;Arthur;Santa Ana Freeway;26/12/1998;85128;WI
8487;Theodore;Reagan;15th;08/10/2006;71548;NV
8488;William;Ford;North Preisker Lane;09/10/2000;18893;VT
8489;Ronald;Roosevelt;Fairview Avenue;21/02/2004;22326;AZ
8490;Ronald;Clinton;French Camp Turnpike Road;27/09/2005;27652;OR
8491;Benjamin;Harrison;East Calle Primera;13/05/2001;46697;ND
8492;Ulysses;Adams;Carpinteria South;15/01/2005;98674;CO
8493;Woodrow;Roosevelt;N Kentwood;20/04/1999;94016;HI
8494;Gerald;Van Buren;Castillo Drive;06/08/2004;12348;TX
8495;Woodrow;Ford;Santa Ana Freeway;05/10/2002;51067;OH
8496;Ronald;Harding;San Diego Freeway;24/08/2002;16130;NJ
8497;Dwight;Roosevelt;Fairview Avenue;15/11/2000;61641;MT
8498;Thomas;Johnson;Tanger Blvd;18/11/1999;69730;NH
8499;Herbert;Garfield;East 1st Street;18/01/1998;47356;MT
8500;Franklin;Lincoln;San Ysidro Blvd;02/04/2006;91557;ND
8501;Herbert;Coolidge;Harbor Dr;23/07/2005;49718;TX
8502;James;Harding;Harry S Truman Blvd;18/05/1999;36422;KS
8503;Abraham;Grant;Timberlane Drive;21/10/2002;43448;DE
8504;Jimmy;Hayes;Fontaine Road;21/07/2005;74476;ND
8505;William;Jefferson;Richmond Hill;09/02/2003;31052;MD
8506;Calvin;Madison;Corona Del Mar;17/06/2006;61411;AZ
8507;Andrew;Fillmore;Bowles Avenue;26/03/1999;58648;KY
8508;Grover;Grant;Cleveland Ave.;25/05/2004;99902;HI
8509;Richard;Adams;Westside Freeway;12/06/2004;63015;NC
8510;John;Hayes;Hutchinson Rd;25/03/2003;32299;RI
8511;James;Tyler;15th;11/04/2000;89937;AK
8512;Bill;Garfield;Padre Boulevard;25/11/2003;24584;WV
8513;Zachary;Nixon;120th;26/10/2006;73759;MN
8514;Millard;Taylor;Corona Del Mar;09/08/2005;81552;IL
8515;George;Adams;North Broadway Street;30/09/2005;78220;MN
8516;Jimmy;Lincoln;120th;31/07/2003;23266;WA
8517;Ulysses;Polk;Newbury Road;22/11/2003;98506;OH
8518;Franklin;Van Buren;Carpinteria Avenue;27/06/2001;12746;MA
8519;Woodrow;Arthur;N Kentwood;16/06/2003;54585;AZ
8520;Chester;Nixon;E Fowler Avenue;24/06/2002;14924;NM
8521;Rutherford;Nixon;Cabrillo Highway;20/11/2004;65769;VA
8522;Zachary;Johnson;South Roosevelt Drive;04/11/2005;76827;RI
8523;Theodore;Johnson;E Fowler Avenue;30/04/2006;16536;AL
8524;Harry;Jackson;Camelback Rd;18/04/2000;79030;NJ
8525;Grover;Johnson;North Broadway Street;22/09/1999;33612;WV
8526;Ulysses;Pierce;S Rustle St;17/11/1998;38347;MA
8527;Richard;Garfield;Carpinteria Avenue;16/07/1999;74265;MS
8528;Jimmy;Roosevelt;Carpinteria Avenue;03/07/1998;61781;WY
8529;Thomas;Harding;Redwood Highway;08/02/2005;65901;MD
8530;Gerald;Quincy Adams;North Ventu Park Road;10/02/1999;41723;CA
8531;William;Washington;Cabrillo Highway;14/08/2004;56873;KY
8532;Theodore;Reagan;Katella Avenue;18/06/2001;82378;IL
8533;Gerald;Clinton;South Highway;10/09/2002;18552;PA
8534;Jimmy;Coolidge;124th;16/07/2001;37485;RI
8535;Warren;Truman;South Roosevelt Drive;12/08/1999;18651;MI
8536;Herbert;Van Buren;Lindbergh Blvd;31/07/1999;49249;MD
8537;Rutherford;Jefferson;N Harrison St;05/03/2003;45788;NC
8538;George;Johnson;South Highway;28/09/2005;18533;ME
8539;George;Hoover;North Atherton Street;01/03/2001;25312;SD
8540;Jimmy;Cleveland;15th;24/05/2006;76314;NE
8541;Richard;Harrison;Timberlane Drive;10/06/2002;26375;NH
8542;Theodore;Johnson;Tanger Blvd;06/01/1999;76371;UT
8543;Andrew;Jackson;San Marcos;04/09/2002;30242;AZ
8544;Dwight;Jackson;South Roosevelt Drive;24/09/2005;89231;SD
8545;Calvin;Fillmore;Via Real;07/09/2000;69878;DE
8546;Richard;Eisenhower;Bailard Avenue;27/06/2002;97369;FL
8547;William;Garfield;San Diego Freeway;31/05/2002;20755;FL
8548;Benjamin;Jackson;Harbor Dr;24/10/2006;61650;IA
8549;Ulysses;McKinley;Moreno Drive;12/07/2003;32925;MI
8550;Woodrow;Tyler;Padre Boulevard;03/04/2000;89017;RI
8551;Harry;Monroe;Cabrillo Highway;21/08/2004;74342;OH
8552;Jimmy;Garfield;Lawrenceville Suwanee;21/05/2000;71449;CA
8553;Dwight;Lincoln;120th;24/02/2005;25430;WY
8554;Martin;Harrison;Grandview Drive;01/07/2003;56156;GA
8555;Rutherford;Johnson;Jones Road;24/09/2002;54912;WV
8556;Andrew;Eisenhower;Carpinteria Avenue;06/11/2004;87009;VA
8557;William;Harrison;Calle Real;01/06/1998;16869;IA
8558;Grover;Jackson;Jones Road;11/08/2006;57249;UT
8559;Chester;Polk;South Highway;26/04/1998;29064;WY
8560;Jimmy;Hayes;San Ysidro Blvd;17/05/2004;23433;HI
8561;Andrew;Tyler;Cabrillo Highway;26/12/2002;72512;OR
8562;Woodrow;Jefferson;Westside Freeway;01/05/2006;80623;AR
8563;Abraham;Garfield;15th;20/05/2002;52308;OR
8564;George;Lincoln;Camelback Rd;15/01/2004;68829;MN
8565;Benjamin;Roosevelt;Tanger Blvd;19/06/2003;49685;MS
8566;Ulysses;Washington;Jones Road;07/11/2002;10714;RI
8567;Calvin;Cleveland;Westside Freeway;03/06/2000;45343;ME
8568;Martin;Taylor;Padre Boulevard;09/12/2003;20530;MA
8569;Benjamin;Truman;East Calle Primera;04/07/2004;14010;MO
8570;Thomas;Clinton;East Fry Blvd.;14/12/2000;44324;ME
8571;John;Buchanan;Jean de la Fontaine;16/07/1998;30280;NJ
8572;Harry;Madison;Tanger Blvd;28/04/2000;61367;OH
8573;Abraham;Clinton;Jean de la Fontaine;14/12/2004;25663;FL
8574;Abraham;Van Buren;Milpas Street;20/02/2002;26864;GA
8575;Warren;Johnson;Santa Monica Road;31/07/2006;96919;KS
8576;Lyndon;Johnson;Westside Freeway;18/09/2004;95897;KS
8577;Grover;Coolidge;Katella Avenue;13/12/1998;15619;FL
8578;Rutherford;Hoover;N Harrison St;26/09/2005;48614;OH
8579;Chester;Roosevelt;Santa Ana Freeway;11/04/2003;98976;IN
8580;Calvin;Coolidge;Calle Real;18/01/2000;76676;NJ
8581;George;Adams;Apalachee Parkway;24/01/2004;21903;NM
8582;Theodore;Taylor;Fairview Avenue;19/01/2001;50962;NC
8583;Andrew;Jackson;N Harrison St;01/05/2000;70348;AZ
8584;William;Grant;Richmond Hill;05/10/2004;60499;WY
8585;Woodrow;Hayes;Burnett Road;10/06/1999;65846;AZ
8586;Franklin;Madison;Burnett Road;17/06/2004;62666;SC
8587;Chester;Johnson;North Ventu Park Road;01/08/1998;11354;NV
8588;Rutherford;Arthur;Santa Rosa South;19/12/2001;84641;MT
8589;Richard;Grant;Woodson Rd.;19/11/1998;28322;NJ
8590;John;Pierce;Tanger Blvd;26/07/2006;76091;TN
8591;Abraham;Harrison;Lake Tahoe Blvd.;08/02/1998;34996;AK
8592;James;Arthur;North Erringer Road;15/07/2003;43121;AK
8593;Harry;Hayes;E Fowler Avenue;07/01/1998;66011;VA
8594;Bill;Monroe;Padre Boulevard;21/04/2000;13466;FL
8595;John;Truman;Grandview Drive;08/05/1999;63193;WI
8596;Grover;Johnson;15th;30/03/2006;12944;CA
8597;James;Jackson;15th;25/05/2002;37644;TX
8598;Rutherford;Carter;Timberlane Drive;28/01/2000;53138;UT
8599;Abraham;Buchanan;Greenwood Road;31/03/2004;63048;NV
8600;James;Kennedy;Harry S Truman Blvd;24/11/2001;40355;IN
8601;Abraham;Cleveland;Carpinteria Avenue;18/08/2001;10249;RI
8602;Rutherford;Monroe;Westside Freeway;10/11/2006;55813;IL
8603;Gerald;Carter;N Kentwood;15/05/1999;13078;NJ
8604;Franklin;Johnson;Richmond Hill;11/06/2005;17086;MN
8605;Benjamin;Eisenhower;S Rustle St;04/07/2006;45412;CT
8606;Calvin;Taft;Bayshore Freeway;14/05/2000;70810;NC
8607;Richard;Polk;15th;04/01/2002;49490;GA
8608;Chester;Arthur;Carpinteria North;12/02/2002;96611;SD
8609;George;Johnson;Milpas Street;15/02/2005;75509;ND
8610;John;Adams;Santa Rosa North;16/02/2003;32313;NH
8611;Dwight;Jefferson;Hutchinson Rd;08/05/1998;72408;IN
8612;Jimmy;Jefferson;North Erringer Road;17/07/2002;30382;LA
8613;Chester;Washington;Santa Monica Road;08/01/2000;49974;CT
8614;Dwight;Truman;Lawrenceville Suwanee;23/08/2000;85619;CO
8615;Franklin;Fillmore;French Camp Turnpike Road;20/07/1998;72133;TX
8616;Calvin;Coolidge;S Rustle St;15/11/1998;34104;OH
8617;Chester;Johnson;Woodson Rd.;08/04/2000;81543;IN
8618;Grover;Madison;San Diego Freeway;02/07/2005;13389;WI
8619;Theodore;Ford;Burnett Road;24/11/2001;95394;HI
8620;Zachary;Adams;Grandview Drive;30/11/2001;33958;UT
8621;Dwight;Harrison;North Atherton Street;23/08/2004;52498;LA
8622;Jimmy;Carter;Calle Real;04/07/2004;11897;NM
8623;Bill;Reagan;Bayshore Freeway;04/12/2006;31593;CO
8624;Millard;Van Buren;Burnett Road;30/03/2006;82870;FL
8625;Ronald;Tyler;Fairview Avenue;20/09/2002;30926;NY
8626;Thomas;Roosevelt;Carpinteria North;18/10/2004;27281;PA
8627;Rutherford;Arthur;Apalachee Parkway;14/07/2003;29061;RI
8628;Benjamin;Johnson;Tanger Blvd;07/05/2000;56750;RI
8629;Ronald;Arthur;East Fry Blvd.;31/12/2002;56961;VT
8630;Zachary;Nixon;15th;23/12/1998;81788;WV
8631;Andrew;Nixon;San Ysidro Blvd;09/02/2001;11299;SC
8632;Warren;Nixon;San Marcos;21/09/2003;70749;NM
8633;Andrew;Clinton;Bailard Avenue;18/01/1998;19039;IN
8634;Richard;Carter;Steele Lane;25/03/2002;60032;TX
8635;John;Roosevelt;Lawrenceville Suwanee;03/09/2002;93244;NH
8636;Ulysses;Reagan;Santa Rosa South;11/01/2005;85509;ME
8637;Richard;Adams;Harbor Dr;11/08/2001;70150;GA
8638;Lyndon;Reagan;Santa Rosa North;19/06/1999;35238;WI
8639;Ronald;Hoover;North Erringer Road;22/12/2005;97496;KS
8640;Martin;Lincoln;Camelback Rd;15/03/1999;53401;WV
8641;Benjamin;Lincoln;N Kentwood;24/09/2004;54080;SD
8642;Chester;Arthur;Katella Avenue;01/06/2000;55500;ME
8643;Martin;Monroe;S Rustle St;24/08/2004;60589;IL
8644;James;Harrison;Via Real;25/07/2006;64797;NM
8645;Woodrow;Reagan;Castillo Drive;26/11/2003;11667;KY
8646;George;Nixon;Cabrillo Highway;17/10/2004;20019;CA
8647;William;Jefferson;Hutchinson Rd;23/04/1998;19234;MD
8648;Gerald;Grant;Santa Rosa North;24/12/2001;44296;ND
8649;Theodore;Quincy Adams;San Diego Freeway;27/02/2002;57054;NV
8650;Millard;Monroe;Moreno Drive;22/05/2003;95361;OK
8651;Rutherford;Garfield;Lake Tahoe Blvd.;11/09/2002;66563;MS
8652;Ronald;Madison;Fairview Avenue;14/12/2005;76992;LA
8653;Richard;Adams;South Roosevelt Drive;20/03/2001;73932;NM
8654;Thomas;Lincoln;North Preisker Lane;14/03/2006;51707;HI
8655;Abraham;Polk;Carpinteria South;16/10/2005;48386;IL
8656;Theodore;Harrison;Camelback Rd;08/10/2004;14713;KY
8657;James;Taft;Burnett Road;11/08/2002;41786;NE
8658;Harry;Polk;E Fowler Avenue;31/07/1998;39097;ID
8659;John;Garfield;Grandview Drive;13/12/2004;69439;MS
8660;Abraham;Taylor;15th;10/08/2005;72279;WY
8661;Jimmy;Taylor;Castillo Drive;18/10/1999;92164;IL
8662;Rutherford;Clinton;Westside Freeway;27/04/2005;13694;ME
8663;Herbert;Grant;Grandview Drive;09/01/1999;99632;MO
8664;Dwight;Pierce;Fairview Avenue;06/09/2001;73748;NE
8665;Franklin;Johnson;El Camino Real;14/04/2006;24908;ND
8666;Martin;Jackson;Milpas Street;28/10/2001;64009;HI
8667;Richard;McKinley;Castillo Drive;20/06/1998;30300;MA
8668;George;Coolidge;Carpinteria South;06/05/2000;48661;LA
8669;Calvin;Coolidge;North Broadway Street;12/10/2002;84411;TX
8670;Benjamin;Adams;North Broadway Street;12/03/2005;17182;VA
8671;Rutherford;Quincy Adams;Lake Tahoe Blvd.;01/07/1999;90462;WY
8672;Thomas;Arthur;Cabrillo Highway;26/03/2006;18305;GA
8673;James;Taylor;N Kentwood;14/04/2001;25864;WV
8674;Herbert;Eisenhower;Newbury Road;18/05/2003;35205;WI
8675;Grover;Lincoln;El Camino Real;12/03/2003;93049;PA
8676;William;Madison;N Harrison St;20/05/2004;51951;AL
8677;Martin;Taylor;South Roosevelt Drive;27/03/2001;71518;IA
8678;James;Quincy Adams;Moreno Drive;10/04/2001;41190;NM
8679;Harry;Roosevelt;Castillo Drive;17/08/1998;31179;OR
8680;Benjamin;Taylor;South Highway;09/05/2006;53108;OH
8681;Woodrow;Madison;W. Russell St.;15/08/1999;66915;CT
8682;Harry;Quincy Adams;East 1st Street;19/11/2003;45607;AK
8683;Rutherford;Harding;Burnett Road;28/12/1999;44393;MT
8684;Gerald;Adams;South Roosevelt Drive;10/05/2006;85773;ME
8685;Millard;Garfield;Castillo Drive;11/02/2001;77151;AZ
